gene_symbol,Arpc5l
mouse_life_stage,Early adult
parameter_id,MGP_IMM_110_001
analysis_id,5901ma0098o7a1f
gene_accession_id,MGI:1921442
pvalue,0.4069303
mouse_strain,C57BL
parameter_name,Transitional 1 B cells - % of CD45+
