analysis_id,994j562iljy582z
parameter_id,IMPC_EYE_001_001
pvalue,0.190771
mouse_life_stage,Late adult
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_name,Eye
