analysis_id,60931kk020yj729
mouse_strain,C57BL
parameter_name,Narrow eye opening
gene_symbol,Ahctf1
mouse_life_stage,Early adult
pvalue,0.876138
parameter_id,IMPC_EYE_006_001
gene_accession_id,MGI:1915033
