mouse_life_stage,Middle aged adult
gene_symbol,Hpca
mouse_strain,C57BL
pvalue,0.8415011
parameter_name,PQ
analysis_id,u0r6c66d69fa61t
parameter_id,IMPC_ECG_005_001
gene_accession_id,MGI:1336200
