gene_symbol,Nanp
gene_accession_id,MGI:1914561
pvalue,0.5375448
analysis_id,a1k7s43hlum7dov
parameter_id,MGP_IMM_100_001
mouse_life_stage,E18.5
parameter_name,Resting NK cells - % of CD45+
mouse_strain,C57BL
