parameter_name,Whole arena average speed
parameter_id,ESLIM_007_001_005
analysis_id,56n85dh76jz74x2
gene_accession_id,MGI:108072
pvalue,0.672112
gene_symbol,Traf6
mouse_strain,C54BL
mouse_life_stage,Early adult
