parameter_name,Weight
gene_accession_id,MGI:1923029
parameter_id,CCP_LFO_001_001
pvalue,0.2087064
mouse_life_stage,Early adult
analysis_id,vk58idpey39m479
mouse_strain,C57BL
gene_symbol,Dnaaf9
