parameter_id,JAXLA_HBD_001_001
pvalue,0.8923907
gene_accession_id,MGI:1920344
mouse_strain,C57BL
parameter_name,Total holepokes
analysis_id,b164ht288rk36qp
mouse_life_stage,Early adult
gene_symbol,Sgip1
