gene_symbol,Mov10
gene_accession_id,MGI:97054
analysis_id,es24pu9lh05y42v
pvalue,0.3653393
parameter_id,M-G-P_016_001_001
parameter_name,White blood cell-count
mouse_life_stage,Early adult
mouse_strain,C54BL
