gene_symbol,Sla2
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_accession_id,MGI:1925049
mouse_strain,C57BL
analysis_id,5re35m6497e2m70
parameter_id,MGP_IMM_094_001
pvalue,0.2764328
mouse_life_stage,Early adult
