parameter_id,JAXLA_EYE_092_001
pvalue,0.1726521
mouse_life_stage,Early adult
analysis_id,p6oru721ggf9p13
gene_accession_id,MGI:894679
parameter_name,Retina (combined)
mouse_strain,C57BL
gene_symbol,Bach2
