Analysis_id,3fk271ppvz5b6h1
Parameter_name,PQ
Mouse_life_stage,Middle aged adult
Gene_accession_id,MGI:1345282
Mouse_strain,C57BL
Pvalue,0.8976447
gene_symbol,Slc30a4
Parameter_id,IMPC_ECG_005_001
