analysis_id,21un0hna4si7197
mouse_life_stage,Early adult
pvalue,0.3454197
parameter_name,18kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_008_001
mouse_strain,C57BL
gene_accession_id,MGI:95576
gene_symbol,Fpgs
