analysis_id,0zbixr311il5pnu
pvalue,0.3427267
gene_accession_id,MGI:1927232
mouse_strain,C57BL
gene_symbol,Rab13
parameter_name,Lens
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_016_001
