gene_symbol,Bmi1
gene_accession_id,MGI:88174
analysis_id,1481vkx67a211e5
pvalue,0.972226
mouse_strain,C57BL
parameter_name,Facial Morphology
parameter_id,IMPC_GEP_017_001
mouse_life_stage,E15.5
