analysis_id,6k2dz9uhd364727
mouse_strain,C57BL
parameter_id,M-G-P_020_001_001
gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
parameter_name,Body Weight
pvalue,0.8035087
