analysis_id,v38081492y71768
parameter_id,IMPC_XRY_066_001
parameter_name,Sacral processes
gene_symbol,Dnajc8
pvalue,0.743889
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915848
