parameter_name,Vocalization
mouse_strain,C57BL
gene_accession_id,MGI:109128
analysis_id,74fxsea65089cs0
pvalue,0.3334171
parameter_id,IMPC_CSD_078_001
gene_symbol,Hnf4a
mouse_life_stage,Late adult
