gene_symbol,Trp53i11
pvalue,0.9340293
gene_accession_id,MGI:2670995
parameter_id,ESLIM_007_001_007
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Periphery resting time
analysis_id,p29a7338i04t66w
