mouse_strain,129SV
gene_accession_id,MGI:1920638
parameter_id,MGP_PBI_012_001
analysis_id,a64mz8kq1vlpw57
gene_symbol,Bpifa3
parameter_name,CD4+ KLRG1+ alpha beta T cell percentage
pvalue,0.1016159
mouse_life_stage,Early adult
