parameter_id,UCD_OWT_008_001
analysis_id,45076480o5p34i0
mouse_life_stage,Early adult
gene_symbol,Pum1
mouse_strain,C57BL
parameter_name,Liver weight
gene_accession_id,MGI:1931749
pvalue,0.06683434
