pvalue,0.9395652
parameter_id,IMPC_ECG_003_001
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
parameter_name,CV
mouse_life_stage,Early adult
analysis_id,tc35t3026975lg7
mouse_strain,C57BL
