gene_symbol,Ahctf1
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
analysis_id,344nf4cqd091r5m
parameter_name,Limb morphology
pvalue,0.6602087
