parameter_name,White blood cell count
gene_symbol,Wars2
pvalue,0.9158801
mouse_life_stage,E9.5
analysis_id,s0030so7k40qv4f
gene_accession_id,MGI:1917810
mouse_strain,C57BL
parameter_id,HMGULA_HEM_001_001
