parameter_id,JAXLA_GRS_011_001
pvalue,0.9668236
mouse_strain,C57BL
gene_accession_id,MGI:1921688
gene_symbol,Clvs1
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
analysis_id,5i8y07xd458h2j3
