parameter_name,White blood cell count
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3314744
gene_accession_id,MGI:3588214
analysis_id,q38n41dc15g94l8
parameter_id,HMGULA_HEM_001_001
gene_symbol,Rufy4
