analysis_id,s9z7w9p0bkb5393
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
gene_symbol,DNAAF9
parameter_id,MGP_PBI_001_001
pvalue,0.9664248
mouse_strain,C57BL
parameter_name,Total T cell percentage
