analysis_id,3ylvpst29f3s8gh
gene_accession_id,MGI:1933159
gene_symbol,Rnf114
parameter_name,Eosinophil number
pvalue,0.9479474
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_040_001
