parameter_name,Lumbar processes
mouse_strain,C57BL
pvalue,0.8223417
analysis_id,rzu27jv5g07ye31
parameter_id,IMPC_XRY_065_001
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_life_stage,E12.5
