gene_symbol,Mapkap1
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
pvalue,0.7630061
parameter_id,IMPC_CBC_024_001
parameter_name,UIBC (unsaturated iron binding capacity)
mouse_strain,C57BL
analysis_id,3on5243m3m4c7kg
