parameter_id,IMPC_OFD_021_001
parameter_name,Number of rears - total
gene_symbol,Rgs20
analysis_id,ep918wmcx35y058
gene_accession_id,MGI:1929866
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5236562
