analysis_id,6hxjpj8t59wm95a
gene_symbol,Snap23
pvalue,0.64692
parameter_name,KLRG1+ mature NK cell percentage
gene_accession_id,MGI:109356
parameter_id,MGP_PBI_011_001
mouse_life_stage,Early adult
mouse_strain,C57BL
