parameter_name,Snout morphology
mouse_life_stage,Late adult
gene_symbol,Slc30a4
parameter_id,MGP_CSD_066_001
gene_accession_id,MGI:1345282
analysis_id,p051482nh7u1p7k
mouse_strain,C57BL
pvalue,0.313586
