gene_symbol,Kcng1
parameter_id,IMPC_GPO_002_001
mouse_life_stage,Early adult
parameter_name,Placenta Morphology
gene_accession_id,MGI:3616086
mouse_strain,C57BL
analysis_id,8yd8t3k6au7t12r
pvalue,0.1049014
