analysis_id,uo775c123vofotu
pvalue,0.7104099
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
gene_symbol,Fgb
parameter_name,Total T cell percentage
parameter_id,MGP_PBI_001_001
mouse_strain,C57BL
