mouse_strain,C57BL
parameter_id,IMPC_CSD_079_001
parameter_name,Aggression
mouse_life_stage,Early adult
gene_symbol,Sla2
pvalue,0.6577277
analysis_id,8u5jpv177o7460c
gene_accession_id,MGI:1925049
