gene_symbol,Wars2
pvalue,0.06399852
mouse_strain,C57BL
gene_accession_id,MGI:1917810
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_life_stage,E12.5
analysis_id,76tsg16m6vdkf4r
parameter_id,MGP_IMM_089_001
