analysis_id,1737y70988w1k68
gene_accession_id,MGI:2446186
pvalue,0.9097692
gene_symbol,Lpgat1
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,Vibrissae - appearance
parameter_id,HMGULA_DYS_024_001
