parameter_id,HRWLLA_OFD_013_001
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
gene_symbol,Bmi1
mouse_strain,C57BL
analysis_id,ufa6h5lc9m3i60e
parameter_name,Periphery average speed
pvalue,0.2692849
