gene_symbol,Dnajc8
analysis_id,0lto086okv85d98
gene_accession_id,MGI:1915848
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_033_001
pvalue,0.9324217
parameter_name,CD8+ KLRG1+ alpha beta T cell number
