analysis_id,3so3d65541416zx
parameter_name,Edema
gene_symbol,Mapkap1
parameter_id,IMPC_GEO_064_001
mouse_strain,C57BL
gene_accession_id,MGI:2444554
pvalue,0.09821473
mouse_life_stage,Early adult
