analysis_id,8o11c7394asc5i5
gene_symbol,Rnf114
mouse_life_stage,Early adult
pvalue,0.1650507
mouse_strain,C57BL
parameter_id,IMPC_XRY_067_001
parameter_name,Caudal processes
gene_accession_id,MGI:1933159
