parameter_name,BMC/Body weight
pvalue,0.3876326
analysis_id,665vy92dm823t6b
gene_accession_id,MGI:1923959
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Arpc2
parameter_id,IMPC_DXA_007_001
