analysis_id,9yl537v71dgohgu
gene_symbol,Alkbh3
parameter_id,IMPC_HEM_029_001
mouse_life_stage,Early adult
parameter_name,Neutrophil differential count
mouse_strain,C57BL
gene_accession_id,MGI:1916363
pvalue,0.4608569
