parameter_id,ESLIM_016_001_005
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,ivaz47m6la08817
pvalue,0.9128015
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
parameter_name,Mean cell volume
