parameter_id,HMGULA_HWT_008_001
gene_accession_id,MGI:1918764
mouse_strain,C57BL
analysis_id,vz8w83s14s7u186
parameter_name,Heart weight
gene_symbol,Sfpq
mouse_life_stage,Early adult
pvalue,0.1488723
