gene_symbol,Rufy4
pvalue,0.6084515
gene_accession_id,MGI:3588214
analysis_id,tur0s9c3jgx6lv2
mouse_strain,C57BL
parameter_name,center - resting time
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_011
