gene_symbol,Pglyrp3
parameter_name,Others
parameter_id,IMPC_IMM_006_001
gene_accession_id,MGI:2685266
mouse_strain,C57BL
pvalue,0.9586103
analysis_id,ho1q1pcj57317l6
mouse_life_stage,Early adult
