parameter_name,Eye
parameter_id,M-G-P_014_001_001
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
analysis_id,podyb8l8wycg3i8
gene_symbol,Slc39a10
pvalue,0.4616388
