parameter_id,HMGULA_SHI_009_001
pvalue,0.4671351
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Startle response
analysis_id,38560raia26pt2c
gene_symbol,Rhbg
