analysis_id,9yd75z09rc72w7s
gene_symbol,Tiprl
parameter_name,Lens Opacity
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.1424656
gene_accession_id,MGI:1915087
parameter_id,IMPC_EYE_017_001
