gene_symbol,Secisbp2l
parameter_id,MGP_PBI_033_001
pvalue,0.3003924
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_name,CD8+ KLRG1+ alpha beta T cell number
analysis_id,435r4332mpsg7y7
gene_accession_id,MGI:1917604
