parameter_name,Embryo Size
gene_accession_id,MGI:107414
mouse_strain,C57BL
analysis_id,qb9flqnser5jmq7
pvalue,0.1619498
parameter_id,IMPC_GEO_019_001
mouse_life_stage,Early adult
gene_symbol,Tnfsf10
