gene_symbol,Kifap3
mouse_life_stage,Early adult
pvalue,0.821331
parameter_id,ESLIM_004_001_701
gene_accession_id,MGI:107566
analysis_id,q9gq3704uhdcrk9
mouse_strain,C57BL
parameter_name,Glucose response AUC
