gene_symbol,Kifap3
parameter_id,IMPC_ECH_001_001
mouse_life_stage,Early adult
parameter_name,End-Systolic Diameter
mouse_strain,C57BL
analysis_id,gk3o1t1j75j2rh1
gene_accession_id,MGI:107566
pvalue,0.6437818
