analysis_id,1pa1d2o3ylo9nz1
gene_accession_id,MGI:88174
gene_symbol,Bmi1
mouse_strain,C57BL
parameter_name,Percent time in light
pvalue,0.9604672
mouse_life_stage,E12.5
parameter_id,JAX_LDT_009_001
