analysis_id,vrnu1k2zp4a8hj8
pvalue,0.1257372
gene_symbol,Ivd
mouse_strain,C57BL
gene_accession_id,MGI:1929242
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_028_001
mouse_life_stage,Early adult
