parameter_name,Tremor
mouse_strain,129SV
analysis_id,1565y1s0s951atf
pvalue,0.1627207
mouse_life_stage,Early adult
gene_symbol,Nipal3
parameter_id,IMPC_CSD_030_001
gene_accession_id,MGI:1921802
