analysis_id,m9s1yi78y0m7o14
pvalue,0.06263497
parameter_id,IMPC_ACS_035_001
parameter_name,% Pre-pulse inhibition - PPI3
gene_symbol,Rab13
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
mouse_strain,C57BL
