parameter_name,Bone Mineral Content
analysis_id,c6phz759xl53ba4
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
mouse_strain,C57BL
pvalue,0.847516
parameter_id,ESLIM_005_001_005
gene_symbol,Orc2
