analysis_id,29jgp3461pdd824
mouse_life_stage,Early adult
gene_accession_id,MGI:1913506
pvalue,0.301918
parameter_id,MGP_PBI_016_001
parameter_name,Monocyte percentage
mouse_strain,C57BL
gene_symbol,Ssr2
