parameter_name,Time mobile light side
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_LDT_003_001
gene_symbol,Ap5s1
analysis_id,2b1x293og2l85i0
gene_accession_id,MGI:1916846
pvalue,0.1016572
