gene_symbol,Arpc5l
analysis_id,lyr1a2z383u96rp
pvalue,0.474399
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
parameter_name,Skull shape
parameter_id,IMPC_XRY_001_001
