analysis_id,82cl2nb26d5bbt1
mouse_strain,C57BL
parameter_id,MGP_PBI_015_001
gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
parameter_name,IgD+ mature B cell percentage
pvalue,0.5402715
